"Prize, Griffin Poetry","Generation, Beat","poets, African American",Feminism,"Awards, National Book"
"Simic, Charles","Ginsberg, Allen","Wicker, Marcus","Bambara, Toni Cade","Wilbur, Richard"
"Wright, Charles","Snyder, Gary","Reeves, Roger","Coleman, Wanda","Stafford, William"
"Ashbery, John",,"Dove, Rita","Dove, Rita","Bly, Robert"
"Wright, C.D.",,"Giovanni, Nikki","Giovanni, Nikki","Rich, Adrienne"
"Hillman, Brenda",,"Giscombe, C.S.","Gubar, Susan","Hacker, Marilyn"
,,"Hayes, Terrance","Hacker, Marilyn","Eberhart, Richard"
,,"Komunyakaa, Yusef","Hejinian, Lyn","Levine, Philip"
,,"May, Jamaal","Kizer, Carolyn","Kinyell, Galway"
,,"Phillips, Carl","Kumin, Maxine","Oliver, Mary"
,,"Walker, Alice","Levertov, Denise","Williams, C.K."
,,"Nelson, Marilyn","Marvin, Cate","Valentine, Jean"
,,"Smith, Tracy K.","McHugh, Heather","Merlin, W.S."
,,"Reed, Ishmael","Olds, Sharon","Doty, Mark"
,,"Gates, Henry Louis","Piercy, Marge","Hayes, Terrance"
,,"Dawson, Erica","Pollitt, Katha","Szybist, Mary"
,,"Bambara, Toni Cade","Rich, Adrienne","Gluck, Louise"
,,"Rankine, Claudia","Walker, Alice","O'Brien, Tim"
,,,,"Walker, Alice"
