Elliston Poets-in-Residence,Nobel Prize in Literature,National Book Critics Circle,The New American Poetry,New York School,Black Mountain,San Francisco Renaissance,US Poets Laureate,Frost Medal,International Poets,ASIAN-AMERICAN POETS & WRITERS,LATIN@ POETS & WRITERS,POETS OF DISABILITY,Disability Poetics,Yale Younger Poets
Carl Phillips,Seamus Heaney,C.D. Wright,John Ashbery,John Ashbery,Robert Creeley,Robert Duncan,Karl Shapiro,Robert Bly,Agha Shahid Ali,Garrett Hongo,Tomas Q. Morin,Jillian Wiese,C.S. Giscombe,Maurice Manning
Mary Szybist,Czeslaw Milosz,Charles Wright,Robert Creeley,Kenneth Koch,Ed Dorn,Gary Snyder,Randall Jarrell,Marilyn Nelson,Yehuda Amichai,Chang Rae Lee,Sonia Sanchez,,Adrienne Rich,Brigit Pegeen Kelly
C.K. Williams,,Albert Goldbarth,Edward Dorn,,Robert Duncan,,Robert Frost,Charles Simic,Julian Barnes,Brian Leung,Julia Alvarez,,Jillian Weise ,Carolyn Forche
Claudia Emerson,,Mark Doty,Robert Duncan,,,,Richard Eberhart,X.J. Kennedy,Giorgos Chouliaras,Brenda Shaughnessy,Gary Soto,,,Jean Valentine
Terrance Hayes,,Rodney Jones,Edward Field,,,,William Stafford,Michael S. Harper,Denis Donoghue,Kristin Naca,Kristin Naca,,,Peter Davison
Albert Goldbarth,,Donald Hall,Allen Ginsberg,,,,Daniel Hoffman,John Hollander,Pablo Armando Fernandez,Cynthia Arrieu-King,Rafael Campo,,,John Hollander
Alice Fulton,,Louise Gluck,Kenneth Koch,,,,Richard Wilbur,Maxine Kumin,Abubakar Gimba,,,,,John Ashbery
Lynn Emanuel,,John Ashbery,Denise Levertov,,,,Mark Strand,Richard Howard,Eamon Grennan,,,,,Daniel Hoffman
John Koethe,,Philip Levine,Gary Snyder,,,,Rita Dove,Galway Kinnell,Thom Gunn,,,,,Adrienne Rich
David St. John,,Sharon Olds,,,,,Robert Pinsky,Sonia Sanchez,Seamus Heaney,,,,,W.S. Merwin
Molly Peacock,,Katha Pollitt,,,,,Louise Gluck,Richard Wilbur,Enrique Lihn,,,,,
Carl Dennis,,C.K. Williams,,,,,Ted Kooser,John Ashbery,Kiril Merdzhanski,,,,,
C.D. Wright,,Edward Hirsch,,,,,Donald Hall,William Stafford,Czeslaw Milosz,,,,,
Linda Gregerson,,,,,,,Charles Simic,Donald Hall,Derek Walcott,,,,,
Henry Taylor,,,,,,,W.S. Merwin,Denise Levertov,Daisy Zamora,,,,,
Rodney Jones,,,,,,,Charles Wright,Carolyn Kizer,,,,,,
Jane Hirshfield,,,,,,,Maxine Kumin,Robert Creeley,,,,,,
Wyatt Prunty,,,,,,,Philip Levine,Allen Ginsberg,,,,,,
Jay Wright,,,,,,,,Richard Eberhart,,,,,,
Ellen Bryant Voigt,,,,,,,,,,,,,,
Donald Davie,,,,,,,,,,,,,,
Dave Smith,,,,,,,,,,,,,,
David Lehman,,,,,,,,,,,,,,
Marilyn Nelson Waniek,,,,,,,,,,,,,,
Heather McHugh,,,,,,,,,,,,,,
John Haines,,,,,,,,,,,,,,
Jane Flanders,,,,,,,,,,,,,,
Alfred Corn,,,,,,,,,,,,,,
Marilyn Hacker,,,,,,,,,,,,,,
Mary Oliver,,,,,,,,,,,,,,
Marge Piercy,,,,,,,,,,,,,,
Richard Howard,,,,,,,,,,,,,,
Jean Valentine,,,,,,,,,,,,,,
Jon Silkin,,,,,,,,,,,,,,
Thom Gunn,,,,,,,,,,,,,,
Carolyn Kizer,,,,,,,,,,,,,,
Michael Harper,,,,,,,,,,,,,,
John Ashbery,,,,,,,,,,,,,,
Louise Glück,,,,,,,,,,,,,,
Philip Levine,,,,,,,,,,,,,,
Gary Snyder,,,,,,,,,,,,,,
William Stafford,,,,,,,,,,,,,,
Wendell Berry,,,,,,,,,,,,,,
Denise Levertov,,,,,,,,,,,,,,
Robert Wallace,,,,,,,,,,,,,,
Louis Simpson,,,,,,,,,,,,,,
John Wain,,,,,,,,,,,,,,
John Hollander,,,,,,,,,,,,,,
David Wagoner,,,,,,,,,,,,,,
Donald Justice,,,,,,,,,,,,,,
Donald Hall,,,,,,,,,,,,,,
Denis Donoghue,,,,,,,,,,,,,,
Daniel Hoffman,,,,,,,,,,,,,,
John Press,,,,,,,,,,,,,,
Richard Eberhart,,,,,,,,,,,,,,
David Daiches,,,,,,,,,,,,,,
Karl Shapiro,,,,,,,,,,,,,,
Randall Jarrell,,,,,,,,,,,,,,
John Betjeman,,,,,,,,,,,,,,
Robert Frost,,,,,,,,,,,,,,
Robert Lowell,,,,,,,,,,,,,,
Stephen Spender,,,,,,,,,,,,,,
John Berryman,,,,,,,,,,,,,,
Robert P. Tristram Coffin,,,,,,,,,,,,,,
