Griffin Poetry Prize,Beat Generation,African American poets,Feminism,National Book Awards
"Simic, Charles, 1938-","Ginsberg, Allen","Wicker, Marcus","Bambara, Toni Cade","Wilbur, Richard, 1921-"
"Wright, Charles","Snyder, Gary","Reeves, Roger","Coleman, Wanda","Stafford, William"
"Ashbery, John, 1927-",,"Dove, Rita","Dove, Rita","Bly, Robert"
"Wright, C. D.",,"Giovanni, Nikki","Giovanni, Nikki","Rich, Adrienne, 1929-2012"
"Hillman, Brenda",,"Giscombe, C. S., 1950-","Gubar, Susan, 1944-","Hacker, Marilyn, 1942-"
,,"Hayes, Terrance","Hacker, Marilyn, 1942-","Eberhart, Richard, 1904-2005"
,,"Komunyakaa, Yusef","Hejinian, Lyn","Levine, Philip"
,,"May, Jamaal","Kizer, Carolyn","Kinyell, Galway"
,,"Phillips, Carl","Kumin, Maxine, 1925-2014","Oliver, Mary"
,,"Walker, Alice","Levertov, Denise, 1923-1997","Williams, C. K. (Charles Kenneth), 1936-2015"
,,"Nelson, Marilyn","Marvin, Cate, 1969-","Valentine, Jean"
,,"Smith, Tracy K.","McHugh, Heather, 1948-","Merlin, W.S."
,,"Reed, Ishmael, 1938-","Olds, Sharon","Doty, Mark"
,,"Gates, Henry Louis, Jr.","Piercy, Marge","Hayes, Terrance"
,,"Dawson, Erica, 1979-","Pollitt, Katha","Szybist, Mary, 1970-"
,,"Bambara, Toni Cade","Rich, Adrienne, 1929-2012","Glück, Louise, 1943-"
,,"Rankine, Claudia, 1963-","Walker, Alice","O'Brien, Tim"
,,,,"Walker, Alice"
